timestamp,pm25_ug_m3,gas_ppm
2025-09-02 00:40:27,0.64,131.91
2025-09-02 00:40:29,0.64,131.31
2025-09-02 00:40:31,0.64,131.01
2025-09-02 00:40:33,0.32,132.03
2025-09-02 00:40:35,0.32,132.26
2025-09-02 00:40:37,0.32,129.41
2025-09-02 00:40:39,0.32,128.74
2025-09-02 00:40:41,0.64,129.24
2025-09-02 00:40:43,0.32,129.74
2025-09-02 00:40:45,0.32,129.48
2025-09-02 00:40:47,0.32,128.89
2025-09-02 00:40:49,0.32,129.37
2025-09-02 00:40:51,0.32,129.65
2025-09-02 00:40:53,0.32,129.68
2025-09-02 00:40:55,0.32,130.68
2025-09-02 00:40:57,0.32,129.94
2025-09-02 00:40:59,0.32,130.79
2025-09-02 00:41:01,0.0,130.88
2025-09-02 00:41:03,0.0,132.42
2025-09-02 00:41:05,0.0,133.26
2025-09-02 00:41:07,0.0,132.86
2025-09-02 00:41:09,0.0,132.44
2025-09-02 00:41:11,0.0,132.11
2025-09-02 00:41:13,0.0,131.47
2025-09-02 00:41:15,0.0,131.43
2025-09-02 00:41:17,0.0,132.46
2025-09-02 00:41:19,0.0,132.22
2025-09-02 00:41:21,1.13,133.4
2025-09-02 00:41:23,2.26,135.25
2025-09-02 00:41:25,3.38,135.72
2025-09-02 00:41:27,4.11,135.11
2025-09-02 00:41:29,6.04,134.92
2025-09-02 00:41:31,7.58,134.67
2025-09-02 00:41:33,10.32,135.26
2025-09-02 00:41:35,10.64,135.73
2025-09-02 00:41:37,10.64,136.3
2025-09-02 00:41:39,12.97,136.36
2025-09-02 00:41:41,14.99,134.4
2025-09-02 00:41:43,16.2,135.14
2025-09-02 00:41:45,17.0,135.43
2025-09-02 00:41:47,17.41,135.08
2025-09-02 00:41:49,15.47,135.78
2025-09-02 00:41:51,13.94,135.85
2025-09-02 00:41:53,11.2,136.4
2025-09-02 00:41:55,10.88,136.05
2025-09-02 00:41:57,10.88,135.67
2025-09-02 00:41:59,8.54,133.2
2025-09-02 00:42:01,5.4,133.78
2025-09-02 00:42:03,3.06,136.39
2025-09-02 00:42:05,1.13,136.83
2025-09-02 00:42:07,0.0,138.2
2025-09-02 00:42:09,0.0,140.02
2025-09-02 00:42:11,0.0,139.34
2025-09-02 00:42:13,0.0,138.79
2025-09-02 00:42:15,0.0,138.75
2025-09-02 00:42:17,0.0,138.52
2025-09-02 00:42:19,0.0,139.76
2025-09-02 00:42:21,0.0,139.53
2025-09-02 00:42:23,0.0,139.34
2025-09-02 00:42:25,0.0,140.21
2025-09-02 00:42:27,0.0,141.73
2025-09-02 00:42:29,0.0,142.22
2025-09-02 00:42:31,0.0,142.72
2025-09-02 00:42:33,0.0,144.17
2025-09-02 00:42:35,0.0,147.19
2025-09-02 00:42:37,0.0,147.0
2025-09-02 00:42:39,0.0,146.75
2025-09-02 00:42:41,0.0,148.7
2025-09-02 00:42:43,0.0,148.74
2025-09-02 00:42:45,0.0,151.29
2025-09-02 00:42:47,0.0,152.44
2025-09-02 00:42:49,0.0,157.56
2025-09-02 00:42:51,0.0,165.65
2025-09-02 00:42:53,0.0,170.15
2025-09-02 00:42:55,0.0,189.14
2025-09-02 00:42:57,0.0,195.12
2025-09-02 00:42:59,0.0,205.77
2025-09-02 00:43:01,0.0,212.52
2025-09-02 00:43:03,0.0,215.31
2025-09-02 00:43:05,0.0,210.39
2025-09-02 00:43:07,0.0,216.7
2025-09-02 00:43:09,0.0,213.77
2025-09-02 00:43:11,0.0,218.3
2025-09-02 00:43:13,0.0,221.15
2025-09-02 00:43:15,0.0,222.21
2025-09-02 00:43:17,0.0,234.14
2025-09-02 00:43:19,0.0,230.97
2025-09-02 00:43:21,0.0,225.88
2025-09-02 00:43:23,0.0,213.35
2025-09-02 00:43:25,0.0,203.67
2025-09-02 00:43:27,0.0,194.45
2025-09-02 00:43:29,0.0,186.09
2025-09-02 00:43:31,0.0,179.84
2025-09-02 00:43:33,0.0,172.5
2025-09-02 00:43:35,0.0,168.53
2025-09-02 00:43:37,0.0,165.79
2025-09-02 00:43:39,0.0,163.38
2025-09-02 00:43:41,0.0,160.7
2025-09-02 00:43:43,0.0,158.44
2025-09-02 00:43:45,0.0,158.27
2025-09-02 00:43:47,0.0,155.98
2025-09-02 00:43:49,0.0,154.14
2025-09-02 00:43:51,0.0,153.52
2025-09-02 00:43:53,0.0,154.33
2025-09-02 00:43:55,0.0,152.93
2025-09-02 00:43:57,0.0,152.98
2025-09-02 00:43:59,0.0,152.59
2025-09-02 00:44:01,0.0,152.93
2025-09-02 00:44:03,0.0,152.12
2025-09-02 00:44:05,0.0,152.77
2025-09-02 00:44:07,0.0,151.68
2025-09-02 00:44:09,0.0,150.81
2025-09-02 00:44:11,0.0,150.11
2025-09-02 00:44:13,0.0,148.72
2025-09-02 00:44:15,0.0,148.86
2025-09-02 00:44:17,0.0,148.97
2025-09-02 00:44:19,0.0,149.82
2025-09-02 00:44:21,0.0,149.53
2025-09-02 00:44:23,0.0,152.15
2025-09-02 00:44:25,0.0,151.29
2025-09-02 00:44:27,0.0,150.92
